Number of grid points:  
729 
Number of HEXAHEDRAL:   
512 
Nodes coordinates:  
-8.000000000000e+00 -8.000000000000e+00 -8.000000000000e+00 
-8.000000000000e+00 -8.000000000000e+00 -6.000000000000e+00 
-8.000000000000e+00 -8.000000000000e+00 -4.000000000000e+00 
-8.000000000000e+00 -8.000000000000e+00 -2.000000000000e+00 
-8.000000000000e+00 -8.000000000000e+00 0.000000000000e+00 
-8.000000000000e+00 -8.000000000000e+00 2.000000000000e+00 
-8.000000000000e+00 -8.000000000000e+00 4.000000000000e+00 
-8.000000000000e+00 -8.000000000000e+00 6.000000000000e+00 
-8.000000000000e+00 -8.000000000000e+00 8.000000000000e+00 
-8.000000000000e+00 -6.000000000000e+00 -8.000000000000e+00 
-8.000000000000e+00 -6.000000000000e+00 -6.000000000000e+00 
-8.000000000000e+00 -6.000000000000e+00 -4.000000000000e+00 
-8.000000000000e+00 -6.000000000000e+00 -2.000000000000e+00 
-8.000000000000e+00 -6.000000000000e+00 0.000000000000e+00 
-8.000000000000e+00 -6.000000000000e+00 2.000000000000e+00 
-8.000000000000e+00 -6.000000000000e+00 4.000000000000e+00 
-8.000000000000e+00 -6.000000000000e+00 6.000000000000e+00 
-8.000000000000e+00 -6.000000000000e+00 8.000000000000e+00 
-8.000000000000e+00 -4.000000000000e+00 -8.000000000000e+00 
-8.000000000000e+00 -4.000000000000e+00 -6.000000000000e+00 
-8.000000000000e+00 -4.000000000000e+00 -4.000000000000e+00 
-8.000000000000e+00 -4.000000000000e+00 -2.000000000000e+00 
-8.000000000000e+00 -4.000000000000e+00 0.000000000000e+00 
-8.000000000000e+00 -4.000000000000e+00 2.000000000000e+00 
-8.000000000000e+00 -4.000000000000e+00 4.000000000000e+00 
-8.000000000000e+00 -4.000000000000e+00 6.000000000000e+00 
-8.000000000000e+00 -4.000000000000e+00 8.000000000000e+00 
-8.000000000000e+00 -2.000000000000e+00 -8.000000000000e+00 
-8.000000000000e+00 -2.000000000000e+00 -6.000000000000e+00 
-8.000000000000e+00 -2.000000000000e+00 -4.000000000000e+00 
-8.000000000000e+00 -2.000000000000e+00 -2.000000000000e+00 
-8.000000000000e+00 -2.000000000000e+00 0.000000000000e+00 
-8.000000000000e+00 -2.000000000000e+00 2.000000000000e+00 
-8.000000000000e+00 -2.000000000000e+00 4.000000000000e+00 
-8.000000000000e+00 -2.000000000000e+00 6.000000000000e+00 
-8.000000000000e+00 -2.000000000000e+00 8.000000000000e+00 
-8.000000000000e+00 0.000000000000e+00 -8.000000000000e+00 
-8.000000000000e+00 0.000000000000e+00 -6.000000000000e+00 
-8.000000000000e+00 0.000000000000e+00 -4.000000000000e+00 
-8.000000000000e+00 0.000000000000e+00 -2.000000000000e+00 
-8.000000000000e+00 0.000000000000e+00 0.000000000000e+00 
