VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
5.000000e-01 9.567086e-02 8.974377e-01 1.612009e+00 6.447461e-01 8.573023e-01 1.501282e+00 3 0 5.535166e-01 -2.234644e-01 8.420296e-02 -2.372563e-01 3.076673e-01
5.956709e-01 6.127396e-01 7.365346e-01 1.508990e+00 4.805574e-01 6.560876e-01 1.418124e+00 3 0 4.272334e-01 -3.248862e-01 3.493681e-01 -4.932597e-01 6.742543e-01
0.000000e+00 0.000000e+00 9.724208e-01 1.401189e+00 6.157954e-01 9.608394e-01 1.301310e+00 3 0 3.919907e-01 -6.711137e-02 9.824807e-02 -4.392061e-01 1.653594e-01
9.567086e-02 5.187673e-01 9.027067e-01 1.377433e+00 3.778084e-01 8.616479e-01 1.235566e+00 3 0 2.489276e-01 -9.768144e-02 1.986418e-01 -5.362406e-01 2.963232e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
5.956709e-01 6.127396e-01 7.211187e-01 1.517342e+00 4.747177e-01 6.369355e-01 1.429727e+00 3 0 5.092429e-01 -7.295692e-01 2.548253e-01 -8.260488e-02 9.843945e-01
6.767767e-01 1.126715e+00 5.866499e-01 1.099547e+00 4.207500e-01 4.872705e-01 1.091760e+00 3 0 4.753560e-02 -9.738432e-01 6.670761e-01 -3.825103e-01 1.640919e+00
9.567086e-02 5.187673e-01 8.895298e-01 1.385689e+00 3.779472e-01 8.449364e-01 1.245522e+00 3 0 3.244596e-01 -5.059738e-01 1.401837e-01 -2.652867e-01 6.461575e-01
1.767767e-01 1.034599e+00 8.084755e-01 1.113299e+00 2.270996e-01 7.446778e-01 1.000575e+00 3 0 1.281885e-01 -6.133582e-01 2.646758e-01 -4.180875e-01 8.780340e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
6.767767e-01 1.126715e+00 5.794525e-01 1.107845e+00 3.777598e-01 4.729836e-01 1.094928e+00 3 0 9.184149e-02 -1.121796e+00 4.787625e-01 1.402818e-01 1.600559e+00
7.309699e-01 1.635770e+00 6.403919e-01 5.589365e-01 5.236026e-01 5.445635e-01 7.019310e-01 3 0 -3.756091e-01 -1.008586e+00 6.701659e-01 1.757177e-01 1.678752e+00
1.767767e-01 1.034599e+00 7.935910e-01 1.112531e+00 2.115503e-01 7.247741e-01 1.001516e+00 3 0 1.612573e-01 -7.301946e-01 1.441280e-01 5.580296e-02 8.743227e-01
2.309699e-01 1.545103e+00 8.059281e-01 7.417025e-01 2.642078e-01 7.409844e-01 6.939854e-01 3 0 -1.308109e-01 -7.464070e-01 3.318415e-01 3.981210e-02 1.078248e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
7.309699e-01 1.635770e+00 6.446481e-01 5.412161e-01 5.017800e-01 5.428461e-01 6.797307e-01 3 0 -4.691503e-01 -5.082458e-01 6.144103e-01 3.131113e-01 1.122656e+00
7.500000e-01 2.138893e+00 8.174494e-01 3.286529e-01 6.743951e-01 7.524567e-01 6.608623e-01 3 0 -4.218613e-01 -4.134560e-01 4.446623e-01 3.059323e-01 8.581184e-01
2.309699e-01 1.545103e+00 8.029266e-01 7.263495e-01 2.500729e-01 7.311793e-01 6.803496e-01 3 0 -1.945272e-01 -4.207045e-01 2.608844e-01 3.838338e-01 6.815889e-01
2.500000e-01 2.048773e+00 8.921429e-01 5.355571e-01 4.541740e-01 8.481204e-01 6.086812e-01 3 0 -3.058859e-01 -3.951212e-01 2.892285e-01 3.752877e-01 6.843497e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
7.500000e-01 2.138893e+00 8.214257e-01 2.982046e-01 6.785066e-01 7.547248e-01 6.534758e-01 3 0 -5.338762e-01 1.330371e-01 4.536365e-01 3.175921e-01 3.205994e-01
7.309699e-01 2.635770e+00 9.409609e-01 4.095670e-01 8.082315e-01 9.195780e-01 7.746306e-01 3 0 -3.623654e-01 2.019555e-01 2.390559e-01 2.561854e-01 3.710044e-02
2.500000e-01 2.048773e+00 8.953151e-01 5.118268e-01 4.535527e-01 8.486968e-01 5.936365e-01 3 0 -3.920386e-01 1.343550e-02 2.816314e-01 4.726641e-01 2.681959e-01
2.309699e-01 2.545103e+00 9.596531e-01 5.631591e-01 6.728394e-01 9.420118e-01 7.484644e-01 3 0 -3.251235e-01 1.036664e-01 1.542601e-01 4.332803e-01 5.059369e-02
