VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.500000e+00 -7.904329e+00 1.001372e+00 1.001213e+00 1.001241e+00 1.001922e+00 1.196367e+00 1 0 1.148916e-03 -1.111180e-03 3.882055e-04 -4.288289e-04 1.499385e-03
-7.404329e+00 -7.387260e+00 1.000838e+00 1.000631e+00 1.000825e+00 1.001167e+00 1.195902e+00 1 0 -6.739510e-04 -1.167273e-03 -1.153286e-03 -8.789295e-04 1.398718e-05
-8.000000e+00 -8.000000e+00 1.000778e+00 1.000788e+00 1.001085e+00 1.001102e+00 1.196154e+00 1 0 1.227468e-03 3.545006e-04 3.602950e-04 1.059375e-03 5.794435e-06
-7.904329e+00 -7.481233e+00 1.001348e+00 1.000951e+00 1.001408e+00 1.001888e+00 1.196315e+00 1 0 -2.874299e-04 3.394793e-04 -1.111012e-03 8.586057e-04 -1.450491e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.404329e+00 -7.387260e+00 1.000839e+00 1.000613e+00 1.000803e+00 1.001168e+00 1.195878e+00 1 0 -8.278240e-04 -1.067078e-03 -1.409786e-03 -9.557838e-04 -3.427080e-04
-7.323223e+00 -6.873285e+00 1.000105e+00 9.999982e-01 1.000184e+00 1.000142e+00 1.195315e+00 1 0 -6.979237e-04 -1.187024e-03 -1.140925e-03 -1.202846e-03 4.609911e-05
-7.904329e+00 -7.481233e+00 1.001415e+00 1.000987e+00 1.001506e+00 1.001981e+00 1.196380e+00 1 0 -1.478354e-04 -9.707386e-04 -1.040344e-03 -7.308177e-04 -6.960506e-05
-7.823223e+00 -6.965401e+00 1.000743e+00 1.000372e+00 1.000809e+00 1.001034e+00 1.195760e+00 1 0 -4.484481e-04 -1.308263e-03 -9.329104e-04 -1.547111e-03 3.753528e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.323223e+00 -6.873285e+00 1.000076e+00 9.999636e-01 1.000128e+00 1.000102e+00 1.195268e+00 1 0 -8.428706e-04 -4.141855e-04 -1.288889e-03 -5.598451e-04 -8.747037e-04
-7.269030e+00 -6.364230e+00 9.997963e-01 9.997622e-01 9.998625e-01 9.997141e-01 1.195053e+00 1 0 -1.243502e-04 -3.697225e-04 -3.188332e-04 -4.660318e-04 5.088934e-05
-7.823223e+00 -6.965401e+00 1.000730e+00 1.000342e+00 1.000769e+00 1.001015e+00 1.195723e+00 1 0 -5.497039e-04 -9.547197e-04 -1.033724e-03 -1.317928e-03 -7.900452e-05
-7.769030e+00 -6.454897e+00 1.000000e+00 9.998533e-01 1.000060e+00 9.999963e-01 1.195179e+00 1 0 -8.830869e-05 -1.009704e-03 -1.910680e-04 -1.523320e-03 8.186359e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.269030e+00 -6.364230e+00 9.997815e-01 9.997482e-01 9.998396e-01 9.996935e-01 1.195035e+00 1 0 -1.635484e-04 7.257110e-05 -3.103503e-04 -5.170895e-05 -3.829214e-04
-7.250000e+00 -5.861107e+00 9.998258e-01 9.998114e-01 9.998560e-01 9.997570e-01 1.195071e+00 1 0 1.299067e-04 1.561033e-04 1.821359e-04 8.133663e-05 2.603261e-05
-7.769030e+00 -6.454897e+00 9.999650e-01 9.998232e-01 1.000001e+00 9.999469e-01 1.195135e+00 1 0 -1.972267e-04 -2.542358e-04 -2.934290e-04 -6.398915e-04 -3.919316e-05
-7.750000e+00 -5.951227e+00 9.997477e-01 9.997443e-01 9.997718e-01 9.996466e-01 1.195000e+00 1 0 1.219837e-04 -1.303227e-04 1.994367e-04 -4.216922e-04 3.297594e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.250000e+00 -5.861107e+00 9.998259e-01 9.998133e-01 9.998586e-01 9.997573e-01 1.195074e+00 1 0 1.423344e-04 1.862033e-04 2.176136e-04 1.371125e-04 3.141021e-05
-7.269030e+00 -5.364230e+00 9.999120e-01 9.999031e-01 9.999232e-01 9.998775e-01 1.195145e+00 1 0 9.893796e-05 1.959140e-04 2.025896e-04 1.556109e-04 6.675666e-06
-7.750000e+00 -5.951227e+00 9.997330e-01 9.997371e-01 9.997530e-01 9.996263e-01 1.194988e+00 1 0 9.197787e-05 1.711005e-04 1.612442e-04 4.276820e-05 -9.856304e-06
-7.769030e+00 -5.454897e+00 9.998148e-01 9.998388e-01 9.998142e-01 9.997418e-01 1.195065e+00 1 0 9.140560e-05 2.393358e-04 1.872061e-04 1.900931e-04 -5.212969e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.269030e+00 -5.364230e+00 9.999150e-01 9.999069e-01 9.999289e-01 9.998816e-01 1.195150e+00 1 0 1.125639e-04 1.109512e-04 2.118498e-04 9.558739e-05 1.008986e-04
-7.323223e+00 -4.873285e+00 9.999493e-01 9.999487e-01 9.999542e-01 9.999292e-01 1.195183e+00 1 0 2.899695e-05 8.490579e-05 8.660289e-05 5.463451e-05 1.697102e-06
-7.769030e+00 -5.454897e+00 9.998168e-01 9.998428e-01 9.998196e-01 9.997447e-01 1.195070e+00 1 0 1.013278e-04 1.896535e-04 1.895504e-04 2.050060e-04 -1.031023e-07
-7.823223e+00 -4.965401e+00 9.999101e-01 9.999256e-01 9.999050e-01 9.998747e-01 1.195149e+00 1 0 1.861229e-05 1.775746e-04 7.506728e-05 1.973234e-04 -1.025073e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.323223e+00 -4.873285e+00 9.999499e-01 9.999498e-01 9.999554e-01 9.999300e-01 1.195184e+00 1 0 3.122316e-05 4.368090e-05 8.036556e-05 2.776967e-05 3.668466e-05
-7.404329e+00 -4.387260e+00 9.999587e-01 9.999664e-01 9.999588e-01 9.999423e-01 1.195194e+00 1 0 7.079699e-06 3.323521e-05 3.290718e-05 5.085697e-06 -3.280306e-07
-7.823223e+00 -4.965401e+00 9.999140e-01 9.999292e-01 9.999113e-01 9.998802e-01 1.195154e+00 1 0 3.066556e-05 8.166366e-05 8.326527e-05 1.003874e-04 1.601612e-06
-7.904329e+00 -4.481233e+00 9.999460e-01 9.999597e-01 9.999412e-01 9.999246e-01 1.195182e+00 1 0 4.646154e-07 5.835320e-05 2.680485e-05 5.552422e-05 -3.154834e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.404329e+00 -4.387260e+00 9.999580e-01 9.999664e-01 9.999576e-01 9.999413e-01 1.195193e+00 1 0 7.493183e-06 2.480507e-05 2.588736e-05 2.571381e-05 1.082289e-06
-7.500000e+00 -3.904329e+00 9.999655e-01 9.999778e-01 9.999715e-01 9.999519e-01 1.195206e+00 1 0 1.310006e-05 2.686351e-05 2.352997e-05 4.256327e-05 -3.333538e-06
-7.904329e+00 -4.481233e+00 9.999466e-01 9.999604e-01 9.999417e-01 9.999253e-01 1.195183e+00 1 0 5.120572e-06 2.391849e-05 2.577497e-05 3.689988e-05 1.856484e-06
-8.000000e+00 -4.000000e+00 9.999493e-01 9.999696e-01 9.999567e-01 9.999291e-01 1.195197e+00 1 0 9.632887e-06 1.736851e-05 1.941040e-05 3.721169e-05 2.041886e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.500000e+00 -3.904329e+00 9.999636e-01 9.999780e-01 9.999731e-01 9.999492e-01 1.195208e+00 1 0 1.769710e-05 1.167007e-05 1.955152e-05 7.528817e-05 7.881447e-06
-7.595671e+00 -3.421938e+00 9.999658e-01 9.999825e-01 1.000005e+00 9.999523e-01 1.195229e+00 1 0 1.512265e-05 1.580164e-05 1.280034e-05 6.606665e-05 -3.001301e-06
-8.000000e+00 -4.000000e+00 9.999463e-01 9.999690e-01 9.999575e-01 9.999249e-01 1.195197e+00 1 0 1.232460e-05 8.966199e-06 1.222955e-05 8.090955e-05 3.263351e-06
-8.095671e+00 -3.518767e+00 9.999462e-01 9.999741e-01 9.999932e-01 9.999248e-01 1.195222e+00 1 0 1.190356e-05 1.791067e-05 7.723086e-06 7.206239e-05 -1.018759e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.595671e+00 -3.421938e+00 9.999669e-01 9.999834e-01 1.000005e+00 9.999539e-01 1.195229e+00 1 0 1.955269e-05 -7.240149e-06 1.516460e-05 6.190383e-05 2.240474e-05
-7.676777e+00 -2.937215e+00 9.999583e-01 9.999776e-01 1.000038e+00 9.999417e-01 1.195248e+00 1 0 1.230908e-05 -7.196278e-06 -2.488929e-05 8.342999e-05 -1.769301e-05
-8.095671e+00 -3.518767e+00 9.999472e-01 9.999751e-01 9.999928e-01 9.999262e-01 1.195222e+00 1 0 1.567695e-05 -4.852752e-07 7.114268e-06 8.577173e-05 7.599544e-06
-8.176777e+00 -3.034599e+00 9.999401e-01 9.999724e-01 1.000042e+00 9.999164e-01 1.195251e+00 1 0 1.028346e-05 -2.636402e-06 -2.898381e-05 1.268841e-04 -2.634741e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.676777e+00 -2.937215e+00 9.999556e-01 9.999787e-01 1.000043e+00 9.999379e-01 1.195252e+00 1 0 2.212433e-05 -5.250312e-05 -3.143319e-05 9.337423e-05 2.106993e-05
-7.730970e+00 -2.447568e+00 9.999327e-01 9.999505e-01 1.000071e+00 9.999058e-01 1.195258e+00 1 0 2.285646e-05 -5.355746e-05 -5.685068e-05 3.273853e-06 -3.293221e-06
-8.176777e+00 -3.034599e+00 9.999358e-01 9.999731e-01 1.000049e+00 9.999103e-01 1.195257e+00 1 0 2.245699e-05 -6.275068e-05 -3.712962e-05 1.491525e-04 2.562106e-05
-8.230970e+00 -2.545102e+00 9.999085e-01 9.999445e-01 1.000099e+00 9.998720e-01 1.195277e+00 1 0 1.966939e-05 -3.857804e-05 -6.609469e-05 3.907774e-05 -2.751664e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.730970e+00 -2.447568e+00 9.999410e-01 9.999514e-01 1.000062e+00 9.999174e-01 1.195251e+00 1 0 1.059081e-05 -3.692492e-05 -1.606177e-05 -1.952552e-04 2.086316e-05
-7.750000e+00 -1.951227e+00 9.999915e-01 9.999407e-01 9.999912e-01 9.999882e-01 1.195190e+00 1 0 1.200850e-04 1.975269e-05 -1.413567e-04 -9.951376e-05 -1.611094e-04
-8.230970e+00 -2.545102e+00 9.999198e-01 9.999492e-01 1.000089e+00 9.998877e-01 1.195271e+00 1 0 3.404517e-05 -1.457007e-04 -3.009372e-05 -1.443435e-04 1.156069e-04
-8.250000e+00 -2.048773e+00 9.999191e-01 9.998820e-01 1.000068e+00 9.998874e-01 1.195218e+00 1 0 1.430313e-04 -7.808763e-05 -1.890667e-04 9.208638e-05 -1.109790e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.750000e+00 -1.951227e+00 9.999912e-01 9.999502e-01 9.999985e-01 9.999880e-01 1.195200e+00 1 0 1.883755e-04 -3.783182e-04 -2.457497e-04 1.849974e-04 1.325685e-04
-7.730970e+00 -1.447568e+00 9.998140e-01 9.997525e-01 1.000123e+00 9.997412e-01 1.195198e+00 1 0 5.588372e-04 -3.996118e-04 -7.739802e-04 4.640517e-04 -3.743685e-04
-8.250000e+00 -2.048773e+00 9.999023e-01 9.998972e-01 1.000098e+00 9.998639e-01 1.195249e+00 1 0 2.490507e-04 -6.884524e-04 -3.553106e-04 7.267185e-04 3.331418e-04
-8.230970e+00 -1.545102e+00 9.994983e-01 9.995271e-01 1.000447e+00 9.992999e-01 1.195332e+00 1 0 6.062563e-04 -7.788539e-04 -8.250621e-04 8.594442e-04 -4.620823e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.730970e+00 -1.447568e+00 9.997774e-01 9.997609e-01 1.000174e+00 9.996899e-01 1.195242e+00 1 0 6.429493e-04 -7.540105e-04 -8.532382e-04 9.039753e-04 -9.922765e-05
-7.676777e+00 -9.372147e-01 9.993939e-01 9.993859e-01 1.000457e+00 9.991536e-01 1.195279e+00 1 0 7.833186e-04 -8.659719e-04 -8.121485e-04 4.223506e-04 5.382341e-05
-8.230970e+00 -1.545102e+00 9.994604e-01 9.995295e-01 1.000496e+00 9.992467e-01 1.195372e+00 1 0 6.360775e-04 -8.781265e-04 -8.572807e-04 1.048172e-03 2.084583e-05
-8.176777e+00 -1.034599e+00 9.990450e-01 9.990939e-01 1.000806e+00 9.986646e-01 1.195397e+00 1 0 7.402489e-04 -1.002507e-03 -7.221657e-04 2.721947e-04 2.803408e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.676777e+00 -9.372147e-01 9.994171e-01 9.993779e-01 1.000427e+00 9.991859e-01 1.195250e+00 1 0 7.047066e-04 -3.841615e-04 -6.289239e-04 1.949614e-05 -2.447624e-04
-7.595671e+00 -4.219378e-01 9.993115e-01 9.992336e-01 1.000414e+00 9.990368e-01 1.195183e+00 1 0 2.577452e-04 -3.807158e-04 7.971739e-05 -1.049507e-04 4.604332e-04
-8.176777e+00 -1.034599e+00 9.991054e-01 9.990771e-01 1.000726e+00 9.987490e-01 1.195324e+00 1 0 5.635858e-04 2.448131e-06 -4.140045e-04 -7.958834e-04 -4.164526e-04
-8.095671e+00 -5.187672e-01 9.993251e-01 9.991303e-01 1.000393e+00 9.990540e-01 1.195106e+00 1 0 1.438354e-04 7.126074e-06 2.362620e-04 -7.174262e-04 2.291359e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.595671e+00 -4.219378e-01 9.993280e-01 9.992141e-01 1.000381e+00 9.990597e-01 1.195147e+00 1 0 1.212540e-04 3.876922e-04 2.261993e-04 -6.568571e-04 -1.614929e-04
