VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 2.438629e-02 5.579780e-01 1.451389e+00 8.106603e-01 4.416569e-01 1.579238e+00 3 0 1.293594e-01 -1.041769e+00 1.152157e+00 -3.434357e-02 2.193926e+00
2.743863e-01 2.767298e-01 5.044292e-01 1.160777e+00 8.427779e-01 3.854325e-01 1.386918e+00 3 0 3.685220e-02 -1.277557e+00 1.299108e+00 -3.785099e-02 2.576665e+00
0.000000e+00 0.000000e+00 6.080541e-01 1.446304e+00 5.461675e-01 4.965071e-01 1.445945e+00 3 0 1.371367e-01 -9.816908e-01 9.701563e-01 -1.043905e-01 1.951847e+00
2.438629e-02 2.523940e-01 5.546010e-01 1.173175e+00 5.499655e-01 4.380703e-01 1.232123e+00 3 0 6.620925e-02 -1.198275e+00 1.067863e+00 -1.339428e-01 2.266138e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.743863e-01 2.767298e-01 5.057647e-01 1.162114e+00 8.303096e-01 3.850523e-01 1.383430e+00 3 0 4.032003e-02 -1.275344e+00 1.276263e+00 1.604087e-03 2.551607e+00
2.978354e-01 5.289740e-01 5.021059e-01 8.372637e-01 8.747479e-01 3.830942e-01 1.171593e+00 3 0 -4.950889e-02 -1.289221e+00 1.308136e+00 1.678035e-02 2.597356e+00
2.438629e-02 2.523940e-01 5.548258e-01 1.173735e+00 5.397715e-01 4.366510e-01 1.230768e+00 3 0 6.677468e-02 -1.206394e+00 1.050259e+00 4.499945e-03 2.256653e+00
4.783543e-02 5.046951e-01 5.449467e-01 8.641946e-01 5.757087e-01 4.276242e-01 9.907092e-01 3 0 -1.867664e-04 -1.249675e+00 1.092327e+00 -3.201337e-03 2.342002e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.978354e-01 5.289740e-01 5.030437e-01 8.387929e-01 8.635195e-01 3.822259e-01 1.167210e+00 3 0 -4.565369e-02 -1.267777e+00 1.302944e+00 2.665164e-02 2.570721e+00
3.194463e-01 7.810336e-01 5.506395e-01 5.414837e-01 9.090058e-01 4.357655e-01 1.005205e+00 3 0 -1.010996e-01 -1.088201e+00 1.213599e+00 4.712329e-02 2.301800e+00
4.783543e-02 5.046951e-01 5.456122e-01 8.644697e-01 5.646365e-01 4.265316e-01 9.869744e-01 3 0 -1.845371e-03 -1.198021e+00 1.082363e+00 1.020269e-01 2.280384e+00
6.944628e-02 7.568145e-01 5.816352e-01 5.783053e-01 6.228249e-01 4.685620e-01 8.002966e-01 3 0 -5.600688e-02 -1.078185e+00 1.061259e+00 9.804801e-02 2.139444e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.194463e-01 7.810336e-01 5.510146e-01 5.400022e-01 9.021276e-01 4.346154e-01 1.000534e+00 3 0 -1.131129e-01 -9.451722e-01 1.222276e+00 3.576307e-02 2.167448e+00
3.383883e-01 1.032831e+00 6.382683e-01 3.286674e-01 9.392857e-01 5.351158e-01 9.185286e-01 3 0 -1.187807e-01 -7.617976e-01 1.062444e+00 5.122620e-02 1.824242e+00
6.944628e-02 7.568145e-01 5.821773e-01 5.762995e-01 6.141479e-01 4.675836e-01 7.942342e-01 3 0 -6.852928e-02 -9.235992e-01 1.058837e+00 1.769057e-01 1.982436e+00
8.838835e-02 1.008671e+00 6.571484e-01 3.663186e-01 6.826245e-01 5.557505e-01 7.119726e-01 3 0 -8.932510e-02 -7.746523e-01 9.645653e-01 1.659866e-01 1.739218e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.383883e-01 1.032831e+00 6.388541e-01 3.222840e-01 9.367827e-01 5.348219e-01 9.150854e-01 3 0 -1.496867e-01 -4.542724e-01 1.071710e+00 2.589320e-02 1.525982e+00
3.539337e-01 1.284302e+00 7.433324e-01 2.239859e-01 9.617314e-01 6.613644e-01 8.847712e-01 3 0 -1.161972e-01 -3.785302e-01 8.779654e-01 4.522248e-02 1.256496e+00
8.838835e-02 1.008671e+00 6.575258e-01 3.601373e-01 6.784643e-01 5.551420e-01 7.065144e-01 3 0 -1.187069e-01 -4.756259e-01 9.655545e-01 2.171305e-01 1.441180e+00
1.039337e-01 1.260192e+00 7.519028e-01 2.559894e-01 7.464441e-01 6.707683e-01 7.061115e-01 3 0 -1.023444e-01 -4.033548e-01 8.164079e-01 1.987435e-01 1.219763e+00
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.539337e-01 1.284302e+00 7.442563e-01 2.150384e-01 9.624353e-01 6.619854e-01 8.837370e-01 3 0 -1.553899e-01 1.484231e-02 8.840468e-01 1.785582e-02 8.692045e-01
3.654849e-01 1.535391e+00 8.405090e-01 2.249349e-01 9.764262e-01 7.850090e-01 8.762692e-01 3 0 -1.053437e-01 1.037056e-02 6.853407e-01 3.299065e-02 6.749701e-01
1.039337e-01 1.260192e+00 7.523737e-01 2.473359e-01 7.462255e-01 6.707602e-01 7.036765e-01 3 0 -1.398831e-01 -2.563438e-02 8.178012e-01 2.248540e-01 8.434356e-01
1.154849e-01 1.511322e+00 8.421844e-01 2.479952e-01 8.073085e-01 7.861162e-01 7.387827e-01 3 0 -1.016307e-01 -2.272733e-02 6.416064e-01 2.026955e-01 6.643338e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 1.535391e+00 8.413627e-01 2.172927e-01 9.786332e-01 7.856453e-01 8.767671e-01 3 0 -1.384741e-01 3.539508e-01 6.885540e-01 1.814094e-02 3.346031e-01
3.725982e-01 1.786060e+00 9.131953e-01 3.080770e-01 9.854139e-01 8.815726e-01 8.880913e-01 3 0 -9.109300e-02 3.312688e-01 5.052612e-01 1.955136e-02 1.739924e-01
1.154849e-01 1.511322e+00 8.428703e-01 2.404031e-01 8.090650e-01 7.864987e-01 7.384535e-01 3 0 -1.341552e-01 3.126793e-01 6.427486e-01 2.102460e-01 3.300694e-01
1.225982e-01 1.762017e+00 9.114926e-01 3.218058e-01 8.608256e-01 8.784705e-01 7.911690e-01 3 0 -9.271129e-02 2.967626e-01 4.690495e-01 1.871786e-01 1.722869e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 1.786060e+00 9.138391e-01 3.038945e-01 9.875487e-01 8.817707e-01 8.889926e-01 3 0 -1.101479e-01 5.354158e-01 5.061047e-01 1.922290e-02 -2.931109e-02
3.750000e-01 2.036286e+00 9.585789e-01 4.386229e-01 9.906237e-01 9.433396e-01 9.229945e-01 3 0 -7.600956e-02 5.241390e-01 3.502453e-01 1.139709e-02 -1.738936e-01
1.225982e-01 1.762017e+00 9.123437e-01 3.175034e-01 8.628144e-01 8.789679e-01 7.916316e-01 3 0 -1.121016e-01 5.035234e-01 4.702093e-01 1.800718e-01 -3.331416e-02
1.250000e-01 2.012252e+00 9.559326e-01 4.449207e-01 9.045607e-01 9.392770e-01 8.594865e-01 3 0 -7.980558e-02 4.963763e-01 3.202543e-01 1.600421e-01 -1.761219e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.750000e-01 2.036286e+00 9.590219e-01 4.378509e-01 9.920197e-01 9.432121e-01 9.240923e-01 3 0 -8.067694e-02 5.783331e-01 3.498054e-01 1.778411e-02 -2.285276e-01
3.725982e-01 2.286060e+00 9.827527e-01 5.820080e-01 9.935478e-01 9.765157e-01 9.762680e-01 3 0 -6.123918e-02 5.776004e-01 2.275962e-01 8.605470e-03 -3.500042e-01
1.250000e-01 2.012252e+00 9.568181e-01 4.440194e-01 9.059763e-01 9.397850e-01 8.603969e-01 3 0 -8.525713e-02 5.587561e-01 3.218862e-01 1.415750e-01 -2.368698e-01
1.225982e-01 2.262017e+00 9.803902e-01 5.836901e-01 9.377968e-01 9.730810e-01 9.370630e-01 3 0 -6.559964e-02 5.603936e-01 2.046993e-01 1.273088e-01 -3.556942e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 2.286060e+00 9.829978e-01 5.834690e-01 9.942839e-01 9.762669e-01 9.776793e-01 3 0 -5.584013e-02 5.237666e-01 2.269100e-01 1.489330e-02 -2.968566e-01
3.654849e-01 2.535391e+00 9.938560e-01 7.125582e-01 9.952773e-01 9.917195e-01 1.035631e+00 3 0 -4.735570e-02 5.244183e-01 1.385632e-01 7.965411e-03 -3.858551e-01
1.225982e-01 2.262017e+00 9.811431e-01 5.850925e-01 9.385971e-01 9.735456e-01 9.384045e-01 3 0 -6.093126e-02 5.145516e-01 2.067868e-01 1.029667e-01 -3.077648e-01
1.154849e-01 2.511322e+00 9.921499e-01 7.120924e-01 9.613833e-01 9.893017e-01 1.012583e+00 3 0 -5.138898e-02 5.165326e-01 1.226172e-01 9.419195e-02 -3.939155e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
