VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 -7.975614e+00 9.998457e-01 1.000149e+00 9.998775e-01 9.997841e-01 1.195281e+00 2 0 1.712008e-04 -1.552498e-04 -1.521872e-04 5.975574e-05 3.062579e-06
2.743863e-01 -7.723270e+00 9.998780e-01 1.000109e+00 9.998947e-01 9.998297e-01 1.195260e+00 2 0 1.706958e-04 -1.835018e-04 -1.819128e-04 9.332226e-05 1.589051e-06
1.339745e-08 -8.000000e+00 9.998873e-01 1.000108e+00 9.999127e-01 9.998425e-01 1.195268e+00 2 0 1.882796e-04 -1.539132e-04 -1.490435e-04 1.033842e-04 4.869786e-06
2.438630e-02 -7.747606e+00 9.999239e-01 1.000071e+00 9.999381e-01 9.998939e-01 1.195252e+00 2 0 1.783453e-04 -1.712662e-04 -1.834162e-04 1.273409e-04 -1.215003e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.743863e-01 -7.723270e+00 9.998772e-01 1.000109e+00 9.998940e-01 9.998285e-01 1.195260e+00 2 0 1.740648e-04 -1.920492e-04 -1.924823e-04 1.554812e-04 -4.330951e-07
2.978354e-01 -7.471026e+00 9.999248e-01 1.000064e+00 9.999312e-01 9.998952e-01 1.195243e+00 2 0 1.303089e-04 -2.015995e-04 -1.558844e-04 1.735078e-04 4.571517e-05
2.438630e-02 -7.747606e+00 9.999241e-01 1.000071e+00 9.999386e-01 9.998941e-01 1.195252e+00 2 0 1.784917e-04 -1.490844e-04 -1.883194e-04 1.294483e-04 -3.923501e-05
4.783544e-02 -7.495305e+00 9.999604e-01 1.000037e+00 9.999671e-01 9.999449e-01 1.195241e+00 2 0 1.268207e-04 -1.495398e-04 -1.545900e-04 1.348600e-04 -5.050198e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.978354e-01 -7.471026e+00 9.999256e-01 1.000063e+00 9.999323e-01 9.998963e-01 1.195243e+00 2 0 1.250132e-04 -1.510153e-04 -1.541892e-04 1.540859e-04 -3.173943e-06
3.194463e-01 -7.218966e+00 9.999657e-01 1.000029e+00 9.999672e-01 9.999524e-01 1.195234e+00 2 0 7.415535e-05 -1.473606e-04 -9.623010e-05 1.548954e-04 5.113049e-05
4.783544e-02 -7.495305e+00 9.999613e-01 1.000036e+00 9.999683e-01 9.999462e-01 1.195240e+00 2 0 1.214031e-04 -1.011986e-04 -1.515356e-04 9.914458e-05 -5.033708e-05
6.944629e-02 -7.243186e+00 9.999860e-01 1.000015e+00 9.999887e-01 9.999806e-01 1.195234e+00 2 0 6.714157e-05 -9.403861e-05 -9.392954e-05 9.284288e-05 1.090755e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.194463e-01 -7.218966e+00 9.999670e-01 1.000027e+00 9.999688e-01 9.999542e-01 1.195234e+00 2 0 6.650928e-05 -8.577924e-05 -8.885933e-05 1.003620e-04 -3.080089e-06
3.383884e-01 -6.967169e+00 9.999903e-01 1.000009e+00 9.999904e-01 9.999866e-01 1.195230e+00 2 0 3.017150e-05 -7.703484e-05 -4.228871e-05 9.163822e-05 3.474612e-05
6.944629e-02 -7.243186e+00 9.999870e-01 1.000014e+00 9.999898e-01 9.999819e-01 1.195234e+00 2 0 6.100149e-05 -5.008118e-05 -8.796232e-05 5.149209e-05 -3.788114e-05
8.838836e-02 -6.991329e+00 9.999985e-01 1.000004e+00 9.999995e-01 9.999980e-01 1.195231e+00 2 0 2.465718e-05 -4.212225e-05 -4.027950e-05 4.193599e-05 1.842753e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.383884e-01 -6.967169e+00 9.999913e-01 1.000008e+00 9.999915e-01 9.999880e-01 1.195230e+00 2 0 2.444167e-05 -3.382728e-05 -3.539677e-05 4.331247e-05 -1.569498e-06
3.539337e-01 -6.715698e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 6.750448e-06 -2.643627e-05 -1.085048e-05 3.379999e-05 1.558579e-05
8.838836e-02 -6.991329e+00 9.999990e-01 1.000003e+00 1.000000e+00 9.999987e-01 1.195231e+00 2 0 2.056129e-05 -1.626720e-05 -3.546955e-05 1.500451e-05 -1.920235e-05
1.039337e-01 -6.739808e+00 1.000002e+00 1.000000e+00 1.000002e+00 1.000003e+00 1.195230e+00 2 0 4.053730e-06 -1.111541e-05 -9.694926e-06 8.002290e-06 1.420481e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.539337e-01 -6.715698e+00 1.000001e+00 1.000001e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 4.010472e-06 -6.865345e-06 -7.120051e-06 8.639421e-06 -2.547060e-07
3.654849e-01 -6.464609e+00 1.000002e+00 9.999997e-01 1.000002e+00 1.000002e+00 1.195229e+00 2 0 -9.920761e-07 -3.089272e-06 4.494853e-07 2.985683e-06 3.538757e-06
1.039337e-01 -6.739808e+00 1.000002e+00 1.000000e+00 1.000002e+00 1.000003e+00 1.195230e+00 2 0 2.328731e-06 -1.737508e-06 -7.425202e-06 -1.611565e-06 -5.687694e-06
1.154849e-01 -6.488678e+00 1.000001e+00 1.000000e+00 1.000002e+00 1.000002e+00 1.195229e+00 2 0 -1.695658e-06 3.021611e-07 8.490897e-07 -4.592734e-06 5.469286e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 -6.464609e+00 1.000002e+00 9.999997e-01 1.000002e+00 1.000002e+00 1.195229e+00 2 0 -1.662478e-06 1.222229e-06 1.432805e-06 -3.028084e-06 2.105764e-07
3.725982e-01 -6.213940e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 -1.373429e-06 2.189612e-06 1.366568e-06 -4.705345e-06 -8.230446e-07
1.154849e-01 -6.488678e+00 1.000001e+00 1.000000e+00 1.000002e+00 1.000002e+00 1.195229e+00 2 0 -1.987110e-06 1.064513e-06 1.236812e-06 -4.041516e-06 1.722988e-07
1.225982e-01 -6.237983e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 -1.264834e-06 1.287452e-06 1.391075e-06 -4.325099e-06 1.036229e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 -6.213940e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 -1.242525e-06 1.048738e-06 1.131650e-06 -2.679243e-06 8.291271e-08
3.750000e-01 -5.963714e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 -1.409096e-07 8.383572e-07 -1.925583e-07 -2.347797e-06 -1.030916e-06
1.225982e-01 -6.237983e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 -1.100838e-06 -2.949980e-09 1.090430e-06 -1.450111e-06 1.093380e-06
1.250000e-01 -5.987748e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 7.344062e-08 -3.115188e-07 -2.332807e-07 -8.505251e-07 7.823806e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
