VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 -7.975614e+00 1.000046e+00 1.000008e+00 1.000091e+00 1.000064e+00 1.195278e+00 2 0 -2.688533e-04 3.968547e-04 4.213746e-04 -4.643105e-04 2.451991e-05
2.743863e-01 -7.723270e+00 9.999320e-01 1.000100e+00 9.999832e-01 9.999039e-01 1.195295e+00 2 0 -1.083767e-04 4.030171e-04 2.223522e-04 -4.818169e-04 -1.806649e-04
1.339745e-08 -8.000000e+00 9.999581e-01 1.000063e+00 9.999956e-01 9.999405e-01 1.195274e+00 2 0 -2.702283e-04 2.364845e-04 3.990999e-04 -2.834396e-04 1.626155e-04
2.438630e-02 -7.747606e+00 9.998956e-01 1.000113e+00 9.999363e-01 9.998534e-01 1.195283e+00 2 0 -8.320253e-05 2.203996e-04 2.076852e-04 -2.740078e-04 -1.271448e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.743863e-01 -7.723270e+00 9.999280e-01 1.000105e+00 9.999781e-01 9.998982e-01 1.195296e+00 2 0 -8.277155e-05 1.822592e-04 2.012277e-04 -3.136182e-04 1.896853e-05
2.978354e-01 -7.471026e+00 9.998656e-01 1.000143e+00 9.999090e-01 9.998115e-01 1.195292e+00 2 0 5.229826e-05 1.573799e-04 1.405795e-05 -2.942488e-04 -1.433219e-04
2.438630e-02 -7.747606e+00 9.998922e-01 1.000117e+00 9.999322e-01 9.998487e-01 1.195284e+00 2 0 -6.109026e-05 4.851588e-05 1.892277e-04 -1.282102e-04 1.407118e-04
4.783544e-02 -7.495305e+00 9.998761e-01 1.000122e+00 9.999097e-01 9.998266e-01 1.195277e+00 2 0 8.464451e-05 1.689388e-05 4.706184e-06 -9.541970e-05 -1.218770e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.978354e-01 -7.471026e+00 9.998613e-01 1.000147e+00 9.999041e-01 9.998054e-01 1.195293e+00 2 0 7.675110e-05 -2.637160e-05 -1.398385e-05 -9.976446e-05 1.238775e-05
3.194463e-01 -7.218966e+00 9.998564e-01 1.000136e+00 9.998856e-01 9.997990e-01 1.195276e+00 2 0 1.444937e-04 -5.813074e-05 -1.255865e-04 -6.541705e-05 -6.745573e-05
4.783544e-02 -7.495305e+00 9.998736e-01 1.000124e+00 9.999070e-01 9.998230e-01 1.195278e+00 2 0 1.027887e-04 -9.218806e-05 -1.546999e-05 2.293096e-05 7.671806e-05
6.944629e-02 -7.243186e+00 9.998943e-01 1.000099e+00 9.999171e-01 9.998523e-01 1.195264e+00 2 0 1.667975e-04 -1.185562e-04 -1.296115e-04 5.577206e-05 -1.105534e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.194463e-01 -7.218966e+00 9.998536e-01 1.000138e+00 9.998828e-01 9.997952e-01 1.195276e+00 2 0 1.589953e-04 -1.512781e-04 -1.472081e-04 7.291530e-05 4.070048e-06
3.383884e-01 -6.967169e+00 9.998880e-01 1.000099e+00 9.999037e-01 9.998437e-01 1.195257e+00 2 0 1.581348e-04 -1.751876e-04 -1.695881e-04 1.045323e-04 5.599449e-06
6.944629e-02 -7.243186e+00 9.998933e-01 1.000100e+00 9.999163e-01 9.998509e-01 1.195264e+00 2 0 1.754963e-04 -1.495754e-04 -1.429307e-04 1.102458e-04 6.644620e-06
8.838836e-02 -6.991329e+00 9.999307e-01 1.000064e+00 9.999437e-01 9.999033e-01 1.195250e+00 2 0 1.650776e-04 -1.629121e-04 -1.698095e-04 1.304468e-04 -6.897403e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.383884e-01 -6.967169e+00 9.998875e-01 1.000099e+00 9.999034e-01 9.998429e-01 1.195257e+00 2 0 1.606083e-04 -1.762360e-04 -1.779891e-04 1.499242e-04 -1.753032e-06
3.539337e-01 -6.715698e+00 9.999338e-01 1.000056e+00 9.999403e-01 9.999078e-01 1.195242e+00 2 0 1.195864e-04 -1.856295e-04 -1.404481e-04 1.668425e-04 4.518133e-05
8.838836e-02 -6.991329e+00 9.999310e-01 1.000063e+00 9.999444e-01 9.999038e-01 1.195249e+00 2 0 1.645339e-04 -1.356745e-04 -1.731939e-04 1.225810e-04 -3.751945e-05
1.039337e-01 -6.739808e+00 9.999661e-01 1.000032e+00 9.999724e-01 9.999529e-01 1.195239e+00 2 0 1.159194e-04 -1.367162e-04 -1.387862e-04 1.274282e-04 -2.069980e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.539337e-01 -6.715698e+00 9.999347e-01 1.000055e+00 9.999415e-01 9.999090e-01 1.195242e+00 2 0 1.141954e-04 -1.340039e-04 -1.376080e-04 1.386942e-04 -3.604127e-06
3.654849e-01 -6.464609e+00 9.999719e-01 1.000024e+00 9.999738e-01 9.999609e-01 1.195234e+00 2 0 6.683769e-05 -1.315862e-04 -8.311817e-05 1.399818e-04 4.846802e-05
1.039337e-01 -6.739808e+00 9.999671e-01 1.000031e+00 9.999737e-01 9.999542e-01 1.195239e+00 2 0 1.104146e-04 -8.756438e-05 -1.349693e-04 8.668376e-05 -4.740490e-05
1.154849e-01 -6.488678e+00 9.999897e-01 1.000012e+00 9.999924e-01 9.999857e-01 1.195233e+00 2 0 6.007569e-05 -8.204847e-05 -8.110383e-05 8.154201e-05 9.446457e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 -6.464609e+00 9.999731e-01 1.000023e+00 9.999754e-01 9.999627e-01 1.195234e+00 2 0 5.957364e-05 -7.306979e-05 -7.565138e-05 8.478275e-05 -2.581588e-06
3.725982e-01 -6.213940e+00 9.999935e-01 1.000007e+00 9.999940e-01 9.999911e-01 1.195230e+00 2 0 2.630674e-05 -6.592251e-05 -3.403848e-05 7.741606e-05 3.188403e-05
1.154849e-01 -6.488678e+00 9.999906e-01 1.000011e+00 9.999935e-01 9.999870e-01 1.195233e+00 2 0 5.424941e-05 -4.037352e-05 -7.514308e-05 4.038097e-05 -3.476956e-05
1.225982e-01 -6.237983e+00 1.000000e+00 1.000002e+00 1.000001e+00 1.000000e+00 1.195231e+00 2 0 2.123233e-05 -3.410024e-05 -3.254150e-05 3.271396e-05 1.558743e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 -6.213940e+00 9.999944e-01 1.000006e+00 9.999951e-01 9.999923e-01 1.195230e+00 2 0 2.108608e-05 -2.687719e-05 -2.766254e-05 3.297557e-05 -7.853557e-07
3.750000e-01 -5.963714e+00 1.000001e+00 1.000000e+00 1.000002e+00 1.000002e+00 1.195230e+00 2 0 5.441634e-06 -2.074400e-05 -7.161736e-06 2.489177e-05 1.358226e-05
1.225982e-01 -6.237983e+00 1.000001e+00 1.000002e+00 1.000002e+00 1.000001e+00 1.195231e+00 2 0 1.755036e-05 -1.128641e-05 -2.813879e-05 8.503156e-06 -1.685238e-05
1.250000e-01 -5.987748e+00 1.000002e+00 9.999999e-01 1.000003e+00 1.000003e+00 1.195230e+00 2 0 3.117228e-06 -7.280062e-06 -6.412825e-06 3.106351e-06 8.672374e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.750000e-01 -5.963714e+00 1.000002e+00 1.000000e+00 1.000002e+00 1.000002e+00 1.195230e+00 2 0 3.094202e-06 -4.325727e-06 -4.012715e-06 3.999561e-06 3.130121e-07
3.725982e-01 -5.713940e+00 1.000002e+00 9.999997e-01 1.000002e+00 1.000003e+00 1.195229e+00 2 0 -9.480397e-07 -1.246398e-06 1.369980e-06 -6.706909e-07 2.616378e-06
1.250000e-01 -5.987748e+00 1.000003e+00 9.999998e-01 1.000003e+00 1.000004e+00 1.195230e+00 2 0 1.697660e-06 -9.247170e-08 -4.549816e-06 -4.015225e-06 -4.457345e-06
1.225982e-01 -5.737983e+00 1.000001e+00 1.000000e+00 1.000002e+00 1.000002e+00 1.195229e+00 2 0 -1.459677e-06 1.410707e-06 1.571454e-06 -6.123814e-06 1.607465e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 -5.713940e+00 1.000002e+00 9.999997e-01 1.000002e+00 1.000003e+00 1.195229e+00 2 0 -1.421875e-06 1.553569e-06 2.009846e-06 -4.243766e-06 4.562769e-07
3.654849e-01 -5.464609e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 -9.325926e-07 2.266647e-06 1.268643e-06 -5.482042e-06 -9.980039e-07
1.225982e-01 -5.737983e+00 1.000001e+00 1.000000e+00 1.000002e+00 1.000002e+00 1.195229e+00 2 0 -1.610826e-06 1.225579e-06 1.745597e-06 -4.450290e-06 5.200179e-07
1.154849e-01 -5.488678e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 -7.817197e-07 1.306184e-06 1.249153e-06 -4.479829e-06 -5.703104e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 -5.464609e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 -7.528140e-07 7.953604e-07 9.310730e-07 -2.777671e-06 1.357125e-07
3.539337e-01 -5.215698e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 2.115373e-07 5.499009e-07 -3.544898e-07 -2.363247e-06 -9.043907e-07
