VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.750000e+00 -7.975614e+00 9.995793e-01 9.997331e-01 9.998069e-01 9.994082e-01 1.195056e+00 1 0 -5.083709e-04 -2.000941e-04 -1.180293e-03 -2.115494e-04 -9.801994e-04
-7.725614e+00 -7.723270e+00 9.995166e-01 9.996738e-01 9.997333e-01 9.993232e-01 1.194990e+00 1 0 -1.703159e-04 -2.676943e-04 -4.953037e-04 -3.206788e-04 -2.276095e-04
-8.000000e+00 -8.000000e+00 9.997965e-01 9.998384e-01 1.000088e+00 9.997105e-01 1.195236e+00 1 0 -3.715495e-04 -4.634166e-04 -1.058202e-03 -8.002379e-04 -5.947854e-04
-7.975614e+00 -7.747606e+00 9.996039e-01 9.997036e-01 9.998521e-01 9.994426e-01 1.195060e+00 1 0 -1.063864e-04 -5.953372e-04 -4.099532e-04 -1.010704e-03 1.853839e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.725614e+00 -7.723270e+00 9.995063e-01 9.996643e-01 9.997175e-01 9.993088e-01 1.194977e+00 1 0 -2.161560e-04 1.761136e-04 -5.472783e-04 2.286204e-04 -7.233919e-04
-7.702165e+00 -7.471026e+00 9.995948e-01 9.997167e-01 9.997842e-01 9.994354e-01 1.195026e+00 1 0 2.490309e-04 1.746908e-04 8.643877e-05 2.412385e-04 -8.825200e-05
-7.975614e+00 -7.747606e+00 9.995928e-01 9.996945e-01 9.998357e-01 9.994270e-01 1.195047e+00 1 0 -1.462322e-04 -2.230957e-04 -4.743454e-04 -3.481477e-04 -2.512497e-04
-7.952165e+00 -7.495305e+00 9.995306e-01 9.996434e-01 9.997530e-01 9.993428e-01 1.194980e+00 1 0 2.439853e-04 -2.651590e-04 1.104824e-04 -4.045393e-04 3.756414e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.702165e+00 -7.471026e+00 9.995875e-01 9.997107e-01 9.997744e-01 9.994252e-01 1.195018e+00 1 0 2.346372e-04 4.827532e-04 7.989550e-05 6.026403e-04 -4.028577e-04
-7.680554e+00 -7.218966e+00 9.997949e-01 9.998488e-01 9.999469e-01 9.997171e-01 1.195153e+00 1 0 5.716972e-04 5.178146e-04 4.853267e-04 6.759201e-04 -3.248792e-05
-7.952165e+00 -7.495305e+00 9.995192e-01 9.996338e-01 9.997364e-01 9.993269e-01 1.194967e+00 1 0 2.127262e-04 1.816511e-04 7.553968e-05 2.050395e-04 -1.061114e-04
-7.930554e+00 -7.243185e+00 9.996204e-01 9.996981e-01 9.998139e-01 9.994713e-01 1.195026e+00 1 0 5.099814e-04 2.079364e-04 4.510210e-04 2.633675e-04 2.430845e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.680554e+00 -7.218966e+00 9.997929e-01 9.998482e-01 9.999462e-01 9.997145e-01 1.195153e+00 1 0 5.857549e-04 5.815128e-04 5.136235e-04 7.482063e-04 -6.788931e-05
-7.661612e+00 -6.967168e+00 1.000039e+00 1.000011e+00 1.000152e+00 1.000059e+00 1.195314e+00 1 0 6.845533e-04 6.254204e-04 6.090008e-04 8.294055e-04 -1.641961e-05
-7.930554e+00 -7.243185e+00 9.996133e-01 9.996929e-01 9.998050e-01 9.994615e-01 1.195019e+00 1 0 5.004206e-04 4.885272e-04 4.471858e-04 6.269480e-04 -4.134138e-05
-7.911612e+00 -6.991329e+00 9.998298e-01 9.998360e-01 9.999898e-01 9.997659e-01 1.195163e+00 1 0 5.971648e-04 5.452798e-04 5.398675e-04 7.325617e-04 -5.412280e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.661612e+00 -6.967168e+00 1.000042e+00 1.000014e+00 1.000159e+00 1.000063e+00 1.195320e+00 1 0 7.151853e-04 4.710581e-04 6.540987e-04 6.417143e-04 1.830405e-04
-7.646066e+00 -6.715698e+00 1.000247e+00 1.000142e+00 1.000328e+00 1.000349e+00 1.195449e+00 1 0 6.004424e-04 5.054742e-04 4.902443e-04 7.037500e-04 -1.522984e-05
-7.911612e+00 -6.991329e+00 9.998286e-01 9.998362e-01 9.999903e-01 9.997643e-01 1.195163e+00 1 0 6.088253e-04 5.732805e-04 5.607796e-04 7.701301e-04 -1.250087e-05
-7.896066e+00 -6.739808e+00 1.000073e+00 9.999936e-01 1.000199e+00 1.000106e+00 1.195324e+00 1 0 5.164010e-04 6.265281e-04 4.141732e-04 8.665687e-04 -2.123549e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.646066e+00 -6.715698e+00 1.000253e+00 1.000149e+00 1.000339e+00 1.000358e+00 1.195458e+00 1 0 6.361670e-04 2.255608e-04 5.393688e-04 3.480854e-04 3.138079e-04
-7.634515e+00 -6.464609e+00 1.000363e+00 1.000207e+00 1.000423e+00 1.000510e+00 1.195517e+00 1 0 3.899881e-04 2.388770e-04 2.206597e-04 3.749879e-04 -1.821736e-05
-7.896066e+00 -6.739808e+00 1.000076e+00 9.999978e-01 1.000207e+00 1.000111e+00 1.195330e+00 1 0 5.416330e-04 4.470369e-04 4.502437e-04 6.301545e-04 3.206839e-06
-7.884515e+00 -6.488678e+00 1.000269e+00 1.000114e+00 1.000367e+00 1.000379e+00 1.195450e+00 1 0 3.319098e-04 4.810568e-04 1.610810e-04 6.960494e-04 -3.199757e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.634515e+00 -6.464609e+00 1.000371e+00 1.000213e+00 1.000435e+00 1.000521e+00 1.195526e+00 1 0 4.194606e-04 -6.011319e-05 2.615392e-04 -4.101846e-05 3.216524e-04
-7.627402e+00 -6.213940e+00 1.000364e+00 1.000192e+00 1.000411e+00 1.000509e+00 1.195503e+00 1 0 1.419836e-04 -7.725224e-05 -9.353860e-05 -6.771621e-05 -1.628636e-05
-7.884515e+00 -6.488678e+00 1.000276e+00 1.000120e+00 1.000380e+00 1.000389e+00 1.195460e+00 1 0 3.609213e-04 1.885944e-04 2.013158e-04 2.828464e-04 1.272134e-05
-7.877402e+00 -6.237983e+00 1.000364e+00 1.000164e+00 1.000440e+00 1.000510e+00 1.195502e+00 1 0 1.220672e-04 1.919907e-04 -1.189985e-04 2.982961e-04 -3.109892e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.627402e+00 -6.213940e+00 1.000371e+00 1.000197e+00 1.000421e+00 1.000519e+00 1.195509e+00 1 0 1.546255e-04 -2.881161e-04 -7.549452e-05 -4.093240e-04 2.126216e-04
-7.625000e+00 -5.963714e+00 1.000263e+00 1.000117e+00 1.000302e+00 1.000367e+00 1.195418e+00 1 0 -5.097571e-05 -3.300043e-04 -3.328528e-04 -4.855068e-04 -2.848541e-06
-7.877402e+00 -6.237983e+00 1.000372e+00 1.000170e+00 1.000453e+00 1.000522e+00 1.195511e+00 1 0 1.439925e-04 -9.910613e-05 -8.790851e-05 -1.611177e-04 1.119762e-05
-7.875000e+00 -5.987748e+00 1.000336e+00 1.000137e+00 1.000395e+00 1.000469e+00 1.195467e+00 1 0 -3.765481e-05 -1.304868e-04 -3.180021e-04 -2.129663e-04 -1.875153e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.625000e+00 -5.963714e+00 1.000266e+00 1.000118e+00 1.000305e+00 1.000370e+00 1.195419e+00 1 0 -5.836882e-05 -3.779753e-04 -3.440255e-04 -6.219606e-04 3.394981e-05
-7.627402e+00 -5.713940e+00 1.000111e+00 1.000019e+00 1.000141e+00 1.000153e+00 1.195299e+00 1 0 -1.269685e-04 -4.185620e-04 -4.001960e-04 -7.039524e-04 1.836596e-05
-7.875000e+00 -5.987748e+00 1.000343e+00 1.000140e+00 1.000403e+00 1.000478e+00 1.195472e+00 1 0 -3.109087e-05 -3.036617e-04 -3.074070e-04 -5.435988e-04 -3.745335e-06
-7.877402e+00 -5.737983e+00 1.000210e+00 1.000057e+00 1.000252e+00 1.000291e+00 1.195365e+00 1 0 -9.916439e-05 -3.518466e-04 -3.565435e-04 -6.392464e-04 -4.696897e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.627402e+00 -5.713940e+00 1.000109e+00 1.000017e+00 1.000137e+00 1.000150e+00 1.195296e+00 1 0 -1.467596e-04 -3.094115e-04 -4.305358e-04 -5.960456e-04 -1.211244e-04
-7.634515e+00 -5.464609e+00 9.999736e-01 9.999421e-01 9.999921e-01 9.999612e-01 1.195197e+00 1 0 -9.123848e-05 -3.225934e-04 -2.877738e-04 -6.321033e-04 3.481962e-05
-7.877402e+00 -5.737983e+00 1.000211e+00 1.000056e+00 1.000253e+00 1.000293e+00 1.195364e+00 1 0 -1.082201e-04 -3.452246e-04 -3.683279e-04 -7.002403e-04 -2.310321e-05
-7.884515e+00 -5.488678e+00 1.000048e+00 9.999687e-01 1.000073e+00 1.000064e+00 1.195244e+00 1 0 -6.797493e-05 -3.781658e-04 -2.391902e-04 -7.783148e-04 1.389756e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.634515e+00 -5.464609e+00 9.999684e-01 9.999381e-01 9.999845e-01 9.999541e-01 1.195191e+00 1 0 -1.107101e-04 -1.422615e-04 -3.181275e-04 -3.715614e-04 -1.758660e-04
-7.646066e+00 -5.215698e+00 9.998970e-01 9.999090e-01 9.999044e-01 9.998553e-01 1.195142e+00 1 0 -6.325882e-06 -1.249880e-04 -8.830359e-05 -3.474681e-04 3.668436e-05
-7.884515e+00 -5.488678e+00 1.000044e+00 9.999651e-01 1.000067e+00 1.000059e+00 1.195239e+00 1 0 -8.468928e-05 -2.304851e-04 -2.639773e-04 -5.735889e-04 -3.349222e-05
-7.896066e+00 -5.239808e+00 9.999214e-01 9.999120e-01 9.999318e-01 9.998887e-01 1.195155e+00 1 0 3.543844e-06 -2.300256e-04 -5.574209e-05 -5.879101e-04 1.742835e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.646066e+00 -5.215698e+00 9.998922e-01 9.999060e-01 9.998980e-01 9.998485e-01 1.195138e+00 1 0 -1.679518e-05 2.313741e-05 -1.049693e-04 -8.972943e-05 -1.281067e-04
-7.661612e+00 -4.967168e+00 9.998877e-01 9.999170e-01 9.998873e-01 9.998432e-01 1.195138e+00 1 0 5.977035e-05 5.206732e-05 7.708303e-05 -3.521537e-05 2.501570e-05
-7.896066e+00 -5.239808e+00 9.999153e-01 9.999081e-01 9.999234e-01 9.998801e-01 1.195149e+00 1 0 -1.083989e-05 -5.031951e-05 -7.964304e-05 -2.689021e-04 -2.932354e-05
-7.911612e+00 -4.991329e+00 9.998696e-01 9.999013e-01 9.998688e-01 9.998173e-01 1.195122e+00 1 0 5.780910e-05 -2.567116e-05 8.680996e-05 -2.263507e-04 1.124811e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.661612e+00 -4.967168e+00 9.998853e-01 9.999160e-01 9.998844e-01 9.998398e-01 1.195137e+00 1 0 5.900539e-05 1.136739e-04 7.544168e-05 1.088825e-04 -3.823225e-05
-7.680554e+00 -4.718966e+00 9.999197e-01 9.999457e-01 9.999161e-01 9.998883e-01 1.195165e+00 1 0 7.701864e-05 1.336734e-04 1.426658e-04 1.531495e-04 8.992471e-06
-7.911612e+00 -4.991329e+00 9.998650e-01 9.998992e-01 9.998631e-01 9.998109e-01 1.195119e+00 1 0 5.128920e-05 8.912706e-05 7.323158e-05 2.674594e-05 -1.589547e-05
-7.930554e+00 -4.743185e+00 9.998841e-01 9.999245e-01 9.998784e-01 9.998384e-01 1.195138e+00 1 0 6.953868e-05 1.151648e-04 1.360077e-04 8.311918e-05 2.084290e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.680554e+00 -4.718966e+00 9.999197e-01 9.999462e-01 9.999165e-01 9.998883e-01 1.195165e+00 1 0 8.140887e-05 1.193417e-04 1.490204e-04 1.699409e-04 2.967866e-05
-7.702165e+00 -4.471026e+00 9.999596e-01 9.999740e-01 9.999564e-01 9.999441e-01 1.195196e+00 1 0 5.653054e-05 1.232772e-04 1.207457e-04 1.844935e-04 -2.531468e-06
-7.930554e+00 -4.743185e+00 9.998825e-01 9.999244e-01 9.998769e-01 9.998363e-01 1.195137e+00 1 0 7.031878e-05 1.365207e-04 1.338320e-04 1.816201e-04 -2.688749e-06
-7.952165e+00 -4.495305e+00 9.999290e-01 9.999580e-01 9.999234e-01 9.999014e-01 1.195174e+00 1 0 4.926241e-05 1.486179e-04 1.087955e-04 2.150481e-04 -3.982239e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.702165e+00 -4.471026e+00 9.999608e-01 9.999750e-01 9.999582e-01 9.999458e-01 1.195198e+00 1 0 6.121367e-05 7.694582e-05 1.274702e-04 1.299638e-04 5.052436e-05
-7.725614e+00 -4.223270e+00 9.999866e-01 9.999914e-01 9.999854e-01 9.999816e-01 1.195218e+00 1 0 2.556482e-05 7.043992e-05 6.395813e-05 1.212216e-04 -6.481789e-06
-7.952165e+00 -4.495305e+00 9.999298e-01 9.999590e-01 9.999249e-01 9.999026e-01 1.195176e+00 1 0 5.344423e-05 1.088807e-04 1.132173e-04 1.854163e-04 4.336594e-06
-7.975614e+00 -4.247606e+00 9.999702e-01 9.999838e-01 9.999674e-01 9.999589e-01 1.195206e+00 1 0 2.123745e-05 1.067982e-04 5.468271e-05 1.882385e-04 -5.211548e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.725614e+00 -4.223270e+00 9.999878e-01 9.999922e-01 9.999870e-01 9.999832e-01 1.195219e+00 1 0 2.820706e-05 3.009372e-05 6.738933e-05 6.031114e-05 3.729561e-05
-7.750000e+00 -3.975614e+00 9.999968e-01 9.999977e-01 9.999978e-01 9.999955e-01 1.195227e+00 1 0 3.581810e-06 2.202383e-05 1.693669e-05 4.499284e-05 -5.087137e-06
-7.975614e+00 -4.247606e+00 9.999718e-01 9.999849e-01 9.999696e-01 9.999610e-01 1.195208e+00 1 0 2.519066e-05 5.494449e-05 6.004083e-05 1.112968e-04 5.096336e-06
-8.000000e+00 -4.000000e+00 9.999923e-01 9.999963e-01 9.999927e-01 9.999894e-01 1.195224e+00 1 0 2.148185e-06 4.695604e-05 1.270845e-05 9.746214e-05 -3.424759e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.750000e+00 -3.975614e+00 9.999973e-01 9.999980e-01 9.999986e-01 9.999963e-01 1.195227e+00 1 0 4.269729e-06 2.030764e-06 1.726196e-05 1.165810e-05 1.523120e-05
-7.774386e+00 -3.727966e+00 9.999962e-01 9.999977e-01 9.999996e-01 9.999946e-01 1.195228e+00 1 0 -5.058639e-06 -2.724008e-06 -4.787176e-06 1.201813e-06 -2.063168e-06
-8.000000e+00 -4.000000e+00 9.999933e-01 9.999969e-01 9.999942e-01 9.999908e-01 1.195225e+00 1 0 4.298696e-06 1.307906e-05 1.586757e-05 3.772805e-05 2.788511e-06
-8.024386e+00 -3.752394e+00 9.999971e-01 9.999990e-01 1.000001e+00 9.999960e-01 1.195229e+00 1 0 -4.920109e-06 6.485001e-06 -5.362304e-06 2.341958e-05 -1.184731e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
