VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 -7.975614e+00 9.996499e-01 1.000332e+00 9.997513e-01 9.995099e-01 1.195362e+00 2 0 3.254977e-04 -1.485797e-04 -2.117023e-04 4.023754e-05 -6.312260e-05
2.743863e-01 -7.723270e+00 9.996631e-01 1.000301e+00 9.997579e-01 9.995287e-01 1.195344e+00 2 0 4.901156e-04 -1.630384e-04 -3.050215e-04 4.366114e-05 -1.419831e-04
1.339745e-08 -8.000000e+00 9.997482e-01 1.000231e+00 9.997978e-01 9.996479e-01 1.195306e+00 2 0 4.619653e-04 -3.087676e-04 -2.012026e-04 1.281812e-04 1.075650e-04
2.438630e-02 -7.747606e+00 9.998006e-01 1.000162e+00 9.998273e-01 9.997215e-01 1.195269e+00 2 0 6.290264e-04 -3.341125e-04 -2.895412e-04 1.398493e-04 4.457130e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.743863e-01 -7.723270e+00 9.996611e-01 1.000303e+00 9.997554e-01 9.995258e-01 1.195344e+00 2 0 5.053150e-04 -2.710422e-04 -3.176991e-04 1.238651e-04 -4.665684e-05
2.978354e-01 -7.471026e+00 9.997053e-01 1.000244e+00 9.997818e-01 9.995880e-01 1.195314e+00 2 0 6.247346e-04 -2.849687e-04 -3.977736e-04 1.317809e-04 -1.128050e-04
2.438630e-02 -7.747606e+00 9.997990e-01 1.000163e+00 9.998258e-01 9.997193e-01 1.195270e+00 2 0 6.395277e-04 -3.839356e-04 -3.000738e-04 2.049279e-04 8.386185e-05
4.783544e-02 -7.495305e+00 9.998714e-01 1.000079e+00 9.998725e-01 9.998208e-01 1.195230e+00 2 0 7.481423e-04 -4.013579e-04 -3.777989e-04 2.183148e-04 2.355899e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.978354e-01 -7.471026e+00 9.997030e-01 1.000246e+00 9.997792e-01 9.995849e-01 1.195314e+00 2 0 6.409301e-04 -3.851943e-04 -4.133590e-04 2.210648e-04 -2.816466e-05
3.194463e-01 -7.218966e+00 9.997803e-01 1.000160e+00 9.998292e-01 9.996934e-01 1.195274e+00 2 0 6.919818e-04 -3.993170e-04 -4.582517e-04 2.320054e-04 -5.893473e-05
4.783544e-02 -7.495305e+00 9.998701e-01 1.000080e+00 9.998715e-01 9.998190e-01 1.195230e+00 2 0 7.577506e-04 -4.256583e-04 -3.890034e-04 2.731417e-04 3.665489e-05
6.944629e-02 -7.243186e+00 9.999585e-01 9.999875e-01 9.999338e-01 9.999429e-01 1.195191e+00 2 0 7.870524e-04 -4.392905e-04 -4.359583e-04 2.878733e-04 3.332219e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.194463e-01 -7.218966e+00 9.997783e-01 1.000161e+00 9.998272e-01 9.996906e-01 1.195274e+00 2 0 7.056450e-04 -4.648121e-04 -4.741143e-04 3.133710e-04 -9.302147e-06
3.383884e-01 -6.967169e+00 9.998841e-01 1.000055e+00 9.999003e-01 9.998389e-01 1.195229e+00 2 0 6.730948e-04 -4.785195e-04 -4.652757e-04 3.270435e-04 1.324380e-05
6.944629e-02 -7.243186e+00 9.999577e-01 9.999870e-01 9.999338e-01 9.999418e-01 1.195191e+00 2 0 7.928567e-04 -4.200809e-04 -4.457140e-04 3.174020e-04 -2.563310e-05
8.838836e-02 -6.991329e+00 1.000054e+00 9.998956e-01 1.000007e+00 1.000076e+00 1.195157e+00 2 0 7.326418e-04 -4.296313e-04 -4.433743e-04 3.323562e-04 -1.374294e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.383884e-01 -6.967169e+00 9.998828e-01 1.000055e+00 9.998996e-01 9.998371e-01 1.195229e+00 2 0 6.805516e-04 -4.838564e-04 -4.780265e-04 3.777177e-04 5.829892e-06
3.539337e-01 -6.715698e+00 1.000005e+00 9.999420e-01 9.999896e-01 1.000008e+00 1.195186e+00 2 0 5.624787e-04 -4.973720e-04 -4.041469e-04 3.945308e-04 9.322507e-05
8.838836e-02 -6.991329e+00 1.000054e+00 9.998938e-01 1.000008e+00 1.000076e+00 1.195156e+00 2 0 7.323196e-04 -3.546477e-04 -4.492547e-04 3.202608e-04 -9.460698e-05
1.039337e-01 -6.739808e+00 1.000144e+00 9.998165e-01 1.000082e+00 1.000203e+00 1.195133e+00 2 0 5.852231e-04 -3.607548e-04 -3.845725e-04 3.347430e-04 -2.381769e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.539337e-01 -6.715698e+00 1.000005e+00 9.999401e-01 9.999907e-01 1.000008e+00 1.195185e+00 2 0 5.605569e-04 -4.234899e-04 -4.099835e-04 3.887399e-04 1.350635e-05
3.654849e-01 -6.464609e+00 1.000124e+00 9.998403e-01 1.000085e+00 1.000175e+00 1.195153e+00 2 0 3.711307e-04 -4.367882e-04 -2.699115e-04 4.084761e-04 1.668767e-04
1.039337e-01 -6.739808e+00 1.000146e+00 9.998135e-01 1.000084e+00 1.000205e+00 1.195132e+00 2 0 5.773136e-04 -2.257615e-04 -3.839594e-04 2.659495e-04 -1.581979e-04
1.154849e-01 -6.488678e+00 1.000213e+00 9.997654e-01 1.000146e+00 1.000298e+00 1.195124e+00 2 0 3.585383e-04 -2.277683e-04 -2.536182e-04 2.773966e-04 -2.584991e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 -6.464609e+00 1.000126e+00 9.998366e-01 1.000088e+00 1.000178e+00 1.195153e+00 2 0 3.578488e-04 -2.782007e-04 -2.648520e-04 3.243075e-04 1.334875e-05
3.725982e-01 -6.213940e+00 1.000217e+00 9.997717e-01 1.000166e+00 1.000304e+00 1.195139e+00 2 0 1.287168e-04 -2.880736e-04 -7.338703e-05 3.427123e-04 2.146866e-04
1.154849e-01 -6.488678e+00 1.000215e+00 9.997614e-01 1.000150e+00 1.000302e+00 1.195124e+00 2 0 3.427399e-04 -4.505720e-05 -2.442133e-04 1.479190e-04 -1.991561e-04
1.225982e-01 -6.237983e+00 1.000241e+00 9.997564e-01 1.000181e+00 1.000337e+00 1.195134e+00 2 0 8.406080e-05 -3.934582e-05 -6.202499e-05 1.498213e-04 -2.267918e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 -6.213940e+00 1.000221e+00 9.997667e-01 1.000171e+00 1.000310e+00 1.195138e+00 2 0 1.045368e-04 -6.499799e-05 -5.464832e-05 1.776836e-04 1.034967e-05
3.750000e-01 -5.963714e+00 1.000257e+00 9.997557e-01 1.000211e+00 1.000360e+00 1.195147e+00 2 0 -1.151601e-04 -6.322443e-05 1.485501e-04 1.841087e-04 2.117746e-04
1.225982e-01 -6.237983e+00 1.000245e+00 9.997523e-01 1.000186e+00 1.000342e+00 1.195133e+00 2 0 6.206268e-05 1.524467e-04 -4.346683e-05 -1.776930e-05 -1.959135e-04
1.250000e-01 -5.987748e+00 1.000216e+00 9.997960e-01 1.000176e+00 1.000302e+00 1.195160e+00 2 0 -1.813040e-04 1.704384e-04 1.514260e-04 -3.312151e-05 -1.901240e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
