VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 2.438629e-02 1.000234e+00 1.000240e+00 9.999815e-01 1.000328e+00 1.195305e+00 3 0 3.502868e-04 -2.321812e-04 -6.307376e-04 4.240111e-04 -3.985564e-04
2.743863e-01 2.767298e-01 1.000141e+00 1.000185e+00 1.000059e+00 1.000198e+00 1.195340e+00 3 0 2.326254e-04 -2.466573e-04 -4.843595e-04 3.205621e-04 -2.377022e-04
0.000000e+00 0.000000e+00 1.000358e+00 1.000150e+00 1.000127e+00 1.000501e+00 1.195309e+00 3 0 4.166880e-04 -1.078147e-04 -6.354772e-04 2.927215e-04 -5.276625e-04
2.438629e-02 2.523940e-01 1.000253e+00 1.000125e+00 1.000170e+00 1.000355e+00 1.195345e+00 3 0 3.051159e-04 -1.332584e-04 -4.716134e-04 1.818642e-04 -3.383550e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.743863e-01 2.767298e-01 1.000142e+00 1.000186e+00 1.000058e+00 1.000199e+00 1.195340e+00 3 0 2.338401e-04 -2.970290e-04 -4.815039e-04 3.066924e-04 -1.844749e-04
2.978354e-01 5.289740e-01 1.000065e+00 1.000114e+00 1.000122e+00 1.000091e+00 1.195354e+00 3 0 1.869707e-04 -3.035070e-04 -3.879296e-04 2.582659e-04 -8.442260e-05
2.438629e-02 2.523940e-01 1.000254e+00 1.000127e+00 1.000169e+00 1.000355e+00 1.195345e+00 3 0 3.131220e-04 -2.451821e-04 -4.733553e-04 2.142468e-04 -2.281732e-04
4.783543e-02 5.046951e-01 1.000169e+00 1.000069e+00 1.000210e+00 1.000236e+00 1.195355e+00 3 0 2.646995e-04 -2.595543e-04 -3.719184e-04 1.717371e-04 -1.123641e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.978354e-01 5.289740e-01 1.000069e+00 1.000114e+00 1.000117e+00 1.000096e+00 1.195351e+00 3 0 1.834612e-04 -2.782928e-04 -3.715247e-04 8.078388e-05 -9.323192e-05
3.194463e-01 7.810336e-01 1.000032e+00 1.000048e+00 1.000134e+00 1.000045e+00 1.195330e+00 3 0 1.608631e-04 -2.825849e-04 -2.997147e-04 7.785943e-05 -1.712984e-05
4.783543e-02 5.046951e-01 1.000173e+00 1.000069e+00 1.000206e+00 1.000241e+00 1.195352e+00 3 0 2.636094e-04 -2.509595e-04 -3.562918e-04 7.042958e-06 -1.053323e-04
6.944628e-02 7.568145e-01 1.000127e+00 1.000011e+00 1.000205e+00 1.000177e+00 1.195328e+00 3 0 2.323010e-04 -2.580288e-04 -2.796698e-04 8.529157e-06 -2.164100e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.194463e-01 7.810336e-01 1.000036e+00 1.000047e+00 1.000130e+00 1.000050e+00 1.195326e+00 3 0 1.560302e-04 -2.309745e-04 -2.850643e-04 -9.860675e-05 -5.408978e-05
3.383883e-01 1.032831e+00 1.000033e+00 9.999921e-01 1.000106e+00 1.000046e+00 1.195279e+00 3 0 1.352610e-04 -2.349988e-04 -2.211859e-04 -8.066164e-05 1.381289e-05
6.944628e-02 7.568145e-01 1.000130e+00 1.000010e+00 1.000202e+00 1.000181e+00 1.195325e+00 3 0 2.278763e-04 -2.028993e-04 -2.646485e-04 -1.634678e-04 -6.174913e-05
8.838835e-02 1.008671e+00 1.000113e+00 9.999635e-01 1.000161e+00 1.000157e+00 1.195276e+00 3 0 1.914381e-04 -2.066980e-04 -1.974556e-04 -1.456225e-04 9.242460e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.383883e-01 1.032831e+00 1.000035e+00 9.999911e-01 1.000104e+00 1.000049e+00 1.195277e+00 3 0 1.301751e-04 -1.754814e-04 -2.135291e-04 -1.839404e-04 -3.804767e-05
3.539337e-01 1.284302e+00 1.000048e+00 9.999495e-01 1.000058e+00 1.000068e+00 1.195222e+00 3 0 9.887261e-05 -1.788268e-04 -1.423326e-04 -1.662083e-04 3.649421e-05
8.838835e-02 1.008671e+00 1.000115e+00 9.999624e-01 1.000159e+00 1.000160e+00 1.195274e+00 3 0 1.855844e-04 -1.336366e-04 -1.885953e-04 -2.529272e-04 -5.495866e-05
1.039337e-01 1.260192e+00 1.000108e+00 9.999323e-01 1.000096e+00 1.000150e+00 1.195220e+00 3 0 1.333305e-04 -1.367096e-04 -1.183200e-04 -2.372678e-04 1.838962e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.539337e-01 1.284302e+00 1.000049e+00 9.999481e-01 1.000058e+00 1.000068e+00 1.195221e+00 3 0 9.401188e-05 -1.147350e-04 -1.403911e-04 -1.995241e-04 -2.565608e-05
3.654849e-01 1.535391e+00 1.000062e+00 9.999216e-01 1.000008e+00 1.000086e+00 1.195172e+00 3 0 3.912821e-05 -1.142195e-04 -5.252987e-05 -1.901231e-04 6.168964e-05
1.039337e-01 1.260192e+00 1.000109e+00 9.999306e-01 1.000096e+00 1.000151e+00 1.195219e+00 3 0 1.263737e-04 -4.916559e-05 -1.148825e-04 -2.805657e-04 -6.571689e-05
1.154849e-01 1.511322e+00 1.000096e+00 9.999210e-01 1.000025e+00 1.000133e+00 1.195174e+00 3 0 4.876745e-05 -5.046890e-05 -3.543019e-05 -2.710487e-04 1.503872e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 1.535391e+00 1.000062e+00 9.999201e-01 1.000009e+00 1.000086e+00 1.195171e+00 3 0 3.588074e-05 -5.333005e-05 -5.357798e-05 -1.878695e-04 -2.479276e-07
3.725982e-01 1.786060e+00 1.000065e+00 9.999088e-01 9.999604e-01 1.000090e+00 1.195135e+00 3 0 -5.908099e-05 -4.725188e-05 4.210525e-05 -1.863987e-04 8.935713e-05
1.154849e-01 1.511322e+00 1.000096e+00 9.999189e-01 1.000027e+00 1.000133e+00 1.195174e+00 3 0 4.178308e-05 4.685853e-05 -3.597185e-05 -2.717194e-04 -8.283038e-05
1.225982e-01 1.762017e+00 1.000066e+00 9.999331e-01 9.999574e-01 1.000091e+00 1.195148e+00 3 0 -7.517975e-05 5.062748e-05 4.507898e-05 -2.677656e-04 -5.548506e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 1.786060e+00 1.000065e+00 9.999075e-01 9.999618e-01 1.000090e+00 1.195135e+00 3 0 -5.960849e-05 -2.462405e-06 4.037989e-05 -1.828723e-04 4.284229e-05
3.750000e-01 2.036286e+00 1.000056e+00 9.999086e-01 9.999145e-01 1.000079e+00 1.195110e+00 3 0 -2.050041e-04 5.931342e-06 1.187757e-04 -1.868754e-04 1.128444e-04
1.225982e-01 1.762017e+00 1.000065e+00 9.999310e-01 9.999593e-01 1.000091e+00 1.195148e+00 3 0 -8.037535e-05 1.390776e-04 4.178229e-05 -2.468366e-04 -9.729533e-05
1.250000e-01 2.012252e+00 1.000014e+00 9.999684e-01 9.998955e-01 1.000019e+00 1.195144e+00 3 0 -2.478511e-04 1.493994e-04 1.057655e-04 -2.505775e-04 -4.363394e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.750000e-01 2.036286e+00 1.000056e+00 9.999079e-01 9.999156e-01 1.000079e+00 1.195110e+00 3 0 -2.040960e-04 2.914682e-05 1.186916e-04 -2.023007e-04 8.954475e-05
3.725982e-01 2.286060e+00 1.000039e+00 9.999169e-01 9.998630e-01 1.000055e+00 1.195088e+00 3 0 -3.879408e-04 3.367072e-05 1.546676e-04 -2.093402e-04 1.209969e-04
1.250000e-01 2.012252e+00 1.000014e+00 9.999671e-01 9.998971e-01 1.000018e+00 1.195145e+00 3 0 -2.503033e-04 2.017685e-04 1.019732e-04 -2.271615e-04 -9.979530e-05
1.225982e-01 2.262017e+00 9.999444e-01 1.000021e+00 9.998373e-01 9.999213e-01 1.195158e+00 3 0 -4.583226e-04 2.158220e-04 1.309395e-04 -2.409627e-04 -8.488255e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 2.286060e+00 1.000040e+00 9.999167e-01 9.998636e-01 1.000056e+00 1.195088e+00 3 0 -3.893105e-04 4.385192e-05 1.583873e-04 -2.436420e-04 1.145354e-04
3.654849e-01 2.535391e+00 1.000017e+00 9.999308e-01 9.998005e-01 1.000023e+00 1.195064e+00 3 0 -5.687974e-04 4.134129e-05 1.430559e-04 -2.518631e-04 1.017146e-04
1.225982e-01 2.262017e+00 9.999440e-01 1.000021e+00 9.998378e-01 9.999208e-01 1.195158e+00 3 0 -4.588439e-04 2.105898e-04 1.297012e-04 -2.276225e-04 -8.088860e-05
1.154849e-01 2.511322e+00 9.998686e-01 1.000078e+00 9.997778e-01 9.998153e-01 1.195174e+00 3 0 -6.631721e-04 2.234372e-04 1.178944e-04 -2.496981e-04 -1.055428e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 2.535391e+00 1.000018e+00 9.999309e-01 9.998004e-01 1.000024e+00 1.195064e+00 3 0 -5.760588e-04 5.335445e-05 1.512428e-04 -2.855303e-04 9.788839e-05
3.539337e-01 2.784302e+00 9.999879e-01 9.999507e-01 9.997272e-01 9.999826e-01 1.195039e+00 3 0 -6.870586e-04 4.773844e-05 9.618928e-05 -2.940854e-04 4.845084e-05
1.154849e-01 2.511322e+00 9.998685e-01 1.000080e+00 9.997765e-01 9.998151e-01 1.195175e+00 3 0 -6.635356e-04 1.559235e-04 1.211003e-04 -2.446488e-04 -3.482328e-05
1.039337e-01 2.760192e+00 9.998028e-01 1.000126e+00 9.997137e-01 9.997233e-01 1.195180e+00 3 0 -7.932488e-04 1.650893e-04 7.808740e-05 -2.684810e-04 -8.700188e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.539337e-01 2.784302e+00 9.999888e-01 9.999507e-01 9.997266e-01 9.999839e-01 1.195039e+00 3 0 -7.007616e-04 6.903682e-05 1.068544e-04 -2.980658e-04 3.781756e-05
3.383884e-01 3.032831e+00 9.999515e-01 9.999787e-01 9.996511e-01 9.999316e-01 1.195019e+00 3 0 -6.827577e-04 6.955881e-05 3.626065e-05 -3.067036e-04 -3.329816e-05
1.039337e-01 2.760192e+00 9.998027e-01 1.000129e+00 9.997106e-01 9.997232e-01 1.195180e+00 3 0 -7.945908e-04 4.972607e-05 8.483302e-05 -2.553471e-04 3.510695e-05
8.838835e-02 3.008671e+00 9.997615e-01 1.000151e+00 9.996478e-01 9.996658e-01 1.195166e+00 3 0 -7.804354e-04 5.737226e-05 2.986446e-05 -2.726630e-04 -2.750780e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.383884e-01 3.032831e+00 9.999516e-01 9.999787e-01 9.996501e-01 9.999318e-01 1.195019e+00 3 0 -6.993946e-04 9.357661e-05 4.511531e-05 -2.573206e-04 -4.846130e-05
3.194463e-01 3.281034e+00 9.999073e-01 1.000015e+00 9.995861e-01 9.998698e-01 1.195013e+00 3 0 -5.230620e-04 1.085091e-04 -1.584570e-05 -2.651560e-04 -1.243548e-04
8.838835e-02 3.008671e+00 9.997611e-01 1.000154e+00 9.996436e-01 9.996652e-01 1.195165e+00 3 0 -7.823851e-04 -7.748073e-05 3.663711e-05 -2.308794e-04 1.141178e-04
6.944628e-02 3.256814e+00 9.997539e-01 1.000146e+00 9.995898e-01 9.996554e-01 1.195130e+00 3 0 -5.903370e-04 -6.677843e-05 -1.020681e-05 -2.353611e-04 5.657162e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.194463e-01 3.281034e+00 9.999061e-01 1.000015e+00 9.995849e-01 9.998682e-01 1.195012e+00 3 0 -5.367343e-04 1.204070e-04 -1.349534e-05 -1.562089e-04 -1.339024e-04
2.978354e-01 3.528974e+00 9.998596e-01 1.000057e+00 9.995475e-01 9.998032e-01 1.195026e+00 3 0 -2.201340e-04 1.511411e-04 -4.640079e-05 -1.608488e-04 -1.975419e-04
6.944628e-02 3.256814e+00 9.997528e-01 1.000149e+00 9.995854e-01 9.996539e-01 1.195129e+00 3 0 -5.915176e-04 -1.872610e-04 -7.686223e-06 -1.539958e-04 1.795748e-04
4.783543e-02 3.504695e+00 9.997811e-01 1.000112e+00 9.995528e-01 9.996938e-01 1.195080e+00 3 0 -2.422192e-04 -1.707397e-04 -3.176780e-05 -1.435707e-04 1.389719e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.978354e-01 3.528974e+00 9.998572e-01 1.000057e+00 9.995462e-01 9.997998e-01 1.195026e+00 3 0 -2.256721e-04 1.401157e-04 -5.328926e-05 -7.437944e-06 -1.934050e-04
2.743863e-01 3.776730e+00 9.998164e-01 1.000097e+00 9.995470e-01 9.997430e-01 1.195060e+00 3 0 1.686859e-04 1.798604e-04 -4.878471e-05 -5.816479e-06 -2.286451e-04
